customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,property_valuation
60,Nadiya,Champerlen,Female,18,1970-02-04,,Manufacturing,Mass Customer,0,0,10.0,39 3rd Drive,2026,NSW,10.0
61,Kacey,Rowbottom,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,0,0,13.0,44516 Katie Parkway,2765,NSW,7.0
62,Sorcha,Roggers,Female,38,1979-07-06,,IT,Mass Customer,0,1,22.0,41 Schurz Center,2749,NSW,8.0
63,Ebony,Zini,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,0,1,16.0,68150 Boyd Road,2745,NSW,9.0
64,Gerek,Yve,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,0,0,4.0,11474 Westend Hill,3752,VIC,8.0
65,Yale,Tanser,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,0,1,15.0,308 Jana Crossing,2153,NSW,10.0
66,Anselm,Gawne,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,0,0,1.0,163 Straubel Trail,2217,NSW,10.0
67,Vernon,,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,0,0,18.0,68294 Clarendon Crossing,2230,NSW,10.0
68,Dahlia,Eddoes,Female,37,1974-04-21,Information Systems Manager,,Affluent Customer,0,0,9.0,486 Mariners Cove Plaza,3046,VIC,7.0
69,Heidi,Milner,Female,16,1969-06-22,Web Developer II,,Mass Customer,0,0,6.0,0322 Dryden Court,3183,VIC,7.0
70,Foster,Vannoort,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,0,0,8.0,9 Bonner Road,2070,NSW,12.0
71,Hoyt,Glavias,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,0,1,12.0,07041 Briar Crest Lane,2213,NSW,10.0
72,Sammy,Cheese,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,0,1,16.0,29466 Hanson Pass,4208,QLD,6.0
73,Minette,Worters,Female,16,1960-05-27,Teacher,,Affluent Customer,0,1,5.0,0212 Forest Run Trail,2774,NSW,8.0
74,Pansy,Kiddie,Female,94,1969-06-19,,,Mass Customer,0,1,6.0,33055 Menomonie Parkway,4133,QLD,8.0
75,Dollie,Sealy,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,0,0,19.0,4763 Merchant Avenue,2756,NSW,8.0
76,Rea,Hasser,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,0,1,18.0,439 Ridgeway Court,4213,QLD,9.0
77,Shermie,Andrin,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,0,0,7.0,2 Clyde Gallagher Lane,4170,QLD,5.0
78,Arch,Van der Kruis,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,0,0,8.0,97455 Loeprich Lane,2153,NSW,9.0
79,Tybi,Silliman,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,0,0,18.0,9527 Ridgeway Street,2073,NSW,10.0
80,Pablo,Small,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,0,0,13.0,7 Jackson Point,3561,VIC,1.0
81,Bee,Blazewicz,Female,58,1986-09-04,,Health,High Net Worth,0,0,13.0,74 Anniversary Junction,2330,NSW,6.0
82,Gleda,Cokely,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,0,0,19.0,2083 Spaight Court,3977,VIC,8.0
83,Kerr,Simmell,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,0,1,18.0,2796 Caliangt Circle,2204,NSW,12.0
84,Rich,Mathiasen,Male,78,1958-02-07,Accountant III,,Mass Customer,0,1,14.0,96061 Ludington Place,2086,NSW,11.0
85,Kane,Tixall,Male,1,1958-05-21,Analyst Programmer,,Mass Customer,0,0,8.0,5037 Merchant Crossing,2226,NSW,11.0
86,Job,Sleney,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,0,1,7.0,289 Haas Street,2075,NSW,11.0
87,Fields,Langdon,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,0,0,8.0,4423 Bartelt Parkway,2038,NSW,12.0
88,Malynda,Tumber,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,0,1,7.0,5 Grim Center,2069,NSW,12.0
89,Benedicto,Hoxey,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,0,1,14.0,73042 Roth Crossing,2100,NSW,11.0
90,Cary,Garron,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,0,0,11.0,171 Fordem Junction,2233,NSW,10.0
91,Dylan,Meaker,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,0,1,17.0,2640 Manley Point,2166,NSW,9.0
92,Jodee,Judkins,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,0,0,12.0,3 Hintze Pass,3133,VIC,10.0
93,Gordon,Gowar,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,0,1,10.0,2 Mcbride Road,3070,VIC,10.0
94,Wallache,Simchenko,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,0,0,21.0,67234 Transport Hill,2777,NSW,7.0
95,Nomi,Mallinder,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,0,1,8.0,72 Dorton Crossing,3133,VIC,10.0
96,Heath,Olford,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,0,0,15.0,6 Heffernan Center,2125,NSW,11.0
97,Arne,Corain,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,0,1,10.0,6088 Roxbury Hill,2766,NSW,8.0
98,Allianora,Babalola,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,0,0,7.0,105 Shelley Alley,2209,NSW,10.0
99,Reggie,Mulliner,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,0,0,3.0,079 Merry Park,2160,NSW,9.0
100,Tripp,Steed,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,0,1,4.0,8722 Summit Alley,2065,NSW,12.0
101,Goran,Kwietek,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,0,0,11.0,9554 Artisan Pass,2150,NSW,10.0
102,Langsdon,Tranfield,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,0,0,16.0,55850 Butterfield Road,2168,NSW,9.0
103,Ethyl,Runham,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,0,1,4.0,68 Little Fleur Crossing,2046,NSW,12.0
104,Odille,Panketh,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,0,1,9.0,85688 New Castle Crossing,4171,QLD,10.0
105,Maribeth,Pristnor,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,0,0,1.0,8611 Loomis Lane,2155,NSW,10.0
106,Glyn,,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,0,1,18.0,7909 Pierstorff Crossing,2517,NSW,9.0
107,Pris,Stallebrass,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,0,1,9.0,01 Muir Parkway,2096,NSW,12.0
108,Kayle,Mingaud,Female,4,1994-03-14,,,High Net Worth,0,0,3.0,0410 Division Junction,2750,NSW,8.0
109,Cody,Blabey,Male,16,1978-12-11,Marketing Assistant,,Affluent Customer,0,1,4.0,41 Service Lane,2217,NSW,11.0
110,Sascha,St. Quintin,Male,23,2000-07-31,,Financial Services,Affluent Customer,0,0,1.0,5 Moose Road,3977,VIC,8.0
111,Cele,Evason,Female,65,1993-08-29,Analyst Programmer,,Mass Customer,0,0,2.0,7342 Fieldstone Junction,2093,NSW,12.0
112,Shena,Parren,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,0,0,12.0,0 David Terrace,3204,VIC,11.0
113,Gage,Nickless,Male,67,1956-05-06,Staff Scientist,,Mass Customer,0,0,20.0,15239 Northwestern Point,4300,QLD,4.0
114,Sunny,Swindells,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,0,0,8.0,60 Oneill Street,2170,NSW,9.0
115,Alberik,Mereweather,Male,77,1981-12-21,Account Executive,Health,Mass Customer,0,0,18.0,8194 Sachtjen Drive,3844,VIC,1.0
116,Scottie,Swiffen,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,0,1,2.0,0349 Farmco Terrace,2168,NSW,8.0
117,Nance,Suttling,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,0,0,15.0,185 Pennsylvania Way,4226,QLD,6.0
118,Prentice,Pearmain,Male,43,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,0,0,19.0,432 Longview Circle,3192,VIC,10.0
119,Willey,Chastanet,Male,9,1981-12-04,Associate Professor,,High Net Worth,0,1,9.0,5814 Bunker Hill Street,3070,VIC,7.0
120,Sloan,Wagg,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,0,1,4.0,7 Carberry Crossing,2485,NSW,2.0
121,Myles,Pauncefort,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,0,0,15.0,53 Talisman Trail,2097,NSW,9.0
122,Colver,Itter,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,0,1,12.0,5 Prairie Rose Road,4817,QLD,2.0
123,Almeta,Kalinsky,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,0,0,15.0,84 Florence Parkway,2516,NSW,8.0
124,Kath,Cunney,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,0,1,5.0,739 Elmside Way,3074,VIC,8.0
125,Darrelle,Antoniewski,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,0,0,16.0,684 Northport Circle,2213,NSW,10.0
126,Norman,Cliff,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,0,1,3.0,8 Hagan Hill,4508,QLD,4.0
127,Merrili,Whitear,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,0,0,19.0,0 Pearson Crossing,4405,QLD,1.0
128,Isidro,Cypler,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,0,1,12.0,10918 Merry Way,2452,NSW,5.0
129,Weidar,Silkstone,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,0,1,19.0,97 Coolidge Trail,2142,NSW,9.0
130,Raddy,Delete,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,0,0,1.0,58 Helena Hill,2205,NSW,7.0
131,Jana,Renyard,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,0,0,8.0,352 Forster Place,4132,QLD,3.0
132,Celesta,Willavoys,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,0,1,9.0,12306 Lawn Street,2145,NSW,8.0
133,Eldridge,Fiddeman,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,0,1,16.0,19392 7th Trail,4744,QLD,1.0
134,Merna,McCulloch,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,0,1,5.0,1605 Northfield Junction,2158,NSW,11.0
135,Rosalia,Sigart,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,0,0,3.0,9674 Graceland Junction,3201,VIC,6.0
136,Mel,Bennet,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,0,1,7.0,638 Thackeray Junction,4178,QLD,3.0
137,Vaughn,Artin,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,0,0,10.0,869 Forster Circle,2112,NSW,10.0
138,Onofredo,Franc,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,0,1,13.0,0 Golden Leaf Crossing,2033,NSW,9.0
139,Gar,,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,0,0,4.0,215 Lindbergh Trail,4401,QLD,1.0
140,Morrie,Flaxon,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,0,0,2.0,829 Washington Crossing,3186,VIC,9.0
141,Townsend,Trobe,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,0,1,10.0,585 Loomis Court,2097,NSW,11.0
142,Bentley,Fortesquieu,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,0,0,17.0,68063 Blue Bill Park Center,3058,VIC,9.0
143,Kendall,Figg,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,0,1,11.0,15673 Farmco Point,4017,QLD,6.0
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,0,0,,22 Oxford Junction,2315,NSW,3.0
145,Filippo,Ferrara,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,0,0,4.0,7245 Cottonwood Center,2285,NSW,5.0
146,Ricoriki,Matlock,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,0,0,8.0,20382 Spohn Alley,2219,NSW,11.0
147,Rea,Pattrick,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,0,1,10.0,12375 Cambridge Pass,2065,NSW,11.0
148,Jaquith,Maffey,Female,69,1981-05-08,Programmer Analyst III,,Mass Customer,0,1,5.0,03 Granby Parkway,3216,VIC,8.0
149,Drucy,Kausche,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,0,1,1.0,939 Coleman Pass,4509,QLD,7.0
150,Bradly,Crosse,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,0,0,17.0,69914 Bowman Place,2330,NSW,7.0
151,Donnie,Brimson,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,0,1,13.0,34457 Springview Street,2759,NSW,9.0
152,Stephana,Cardew,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,0,0,16.0,992 Old Shore Trail,2069,NSW,12.0
153,Lorilyn,Walshe,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,0,1,12.0,453 Sheridan Street,2747,NSW,8.0
154,Faydra,Dulieu,Female,90,1958-02-13,Junior Executive,,Mass Customer,0,0,11.0,8 Mccormick Crossing,2227,NSW,8.0
155,Orran,Bogges,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,0,0,10.0,63344 Holmberg Crossing,2025,NSW,10.0
156,Shayla,Rimmington,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,0,1,11.0,9 Huxley Circle,3191,VIC,11.0
157,Chad,Houtby,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,0,0,16.0,0 Hazelcrest Road,3025,VIC,8.0
158,Hamlin,Odams,Male,99,1984-09-03,Internal Auditor,,Affluent Customer,0,0,5.0,2 Continental Plaza,2263,NSW,6.0
159,Arin,Matskevich,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,0,0,13.0,80 Duke Terrace,2233,NSW,10.0
160,Wake,Durning,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,0,0,18.0,860 Hintze Lane,2154,NSW,11.0
161,Tadd,Bloss,Male,49,1976-01-21,,,Mass Customer,0,0,16.0,3723 Bunker Hill Circle,2065,NSW,10.0
162,Port,Acuna,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,0,0,15.0,5 Corry Court,2119,NSW,10.0
163,Kessia,Helder,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,0,1,14.0,65105 Sommers Pass,3016,VIC,10.0
164,Aarika,Van Vuuren,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,0,1,1.0,2054 Sommers Pass,4113,QLD,4.0
165,Aldon,Roelofs,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,0,1,12.0,22371 Miller Trail,2032,NSW,10.0
166,Elston,Oleszczak,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,0,0,6.0,35807 Oneill Way,4300,QLD,4.0
167,Nathalie,Tideswell,Female,95,1969-10-27,,Health,High Net Worth,0,1,17.0,75612 Clarendon Junction,4352,QLD,6.0
168,Reggie,Broggetti,U,8,,General Manager,IT,Affluent Customer,0,1,,16 Golf View Center,3020,VIC,6.0
169,Alfy,Bruhnke,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,0,1,5.0,93 Iowa Junction,2116,NSW,9.0
170,Jammal,Gever,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,0,0,21.0,48 Cascade Terrace,3057,VIC,8.0
171,Halli,Davidoff,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,0,0,10.0,13950 Jackson Avenue,2099,NSW,11.0
172,Hilton,Carney,Male,54,1988-09-12,Editor,Manufacturing,Affluent Customer,0,1,6.0,35386 Mockingbird Road,3749,VIC,4.0
173,Ebba,Hanselmann,Female,99,1997-01-02,General Manager,Health,Affluent Customer,0,0,1.0,2 Randy Point,2766,NSW,8.0
174,Catie,Tosspell,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,0,0,12.0,6898 Redwing Park,2148,NSW,9.0
175,Templeton,Hambrook,Male,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,0,0,5.0,52273 Bay Place,3145,VIC,11.0
176,Angelo,Clayal,Male,39,1992-04-13,Accountant I,Property,Mass Customer,0,0,10.0,272 Montana Avenue,2021,NSW,8.0
177,Ondrea,Pablos,Female,25,1989-11-09,Professor,Financial Services,High Net Worth,0,0,4.0,82520 Mifflin Drive,2333,NSW,5.0
178,Matthieu,Bertelmot,Male,2,1967-04-03,,,Affluent Customer,0,0,8.0,8 Dixon Parkway,2783,NSW,7.0
179,Esteban,Sewill,Male,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,0,1,6.0,4 Dayton Terrace,2280,NSW,9.0
180,Trisha,Neasham,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,0,0,14.0,216 Barnett Junction,4120,QLD,8.0
181,Pavla,Braunle,Female,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,0,0,9.0,8256 Annamark Court,3638,VIC,1.0
182,Lydon,Dahlman,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,0,1,7.0,83012 Dapin Lane,4300,QLD,4.0
183,Dannie,Hissie,Female,7,1997-08-05,Geologist III,Retail,Affluent Customer,0,0,3.0,8 Haas Park,2074,NSW,10.0
184,Nappie,Paolo,Male,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,0,1,7.0,50 Meadow Ridge Way,2880,NSW,1.0
185,Crosby,Walcot,Male,80,1979-12-13,,Property,Mass Customer,0,1,13.0,3567 Northfield Lane,2430,NSW,5.0
186,Mireielle,Jeppe,Female,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,0,0,3.0,0059 Brentwood Road,4560,QLD,7.0
187,Pincas,Ather,Male,97,1954-01-28,Structural Engineer,,Mass Customer,0,0,11.0,0274 Oneill Alley,2088,NSW,10.0
188,Audry,Seine,Female,54,1975-06-22,Safety Technician II,Property,High Net Worth,0,1,13.0,4179 Carioca Terrace,2220,NSW,11.0
189,Umberto,Torricella,Male,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,0,0,10.0,59265 Sullivan Junction,3031,VIC,4.0
190,Hayley,Girardengo,Female,42,1979-02-04,Registered Nurse,Health,Affluent Customer,0,0,10.0,7 Warbler Point,2250,NSW,9.0
191,Christopher,Heining,Male,22,1960-04-27,Help Desk Operator,,Affluent Customer,0,1,6.0,3 Buell Park,2261,NSW,7.0
